deal,opp_id,ok,win,mom,eng
Traveloka,006P700000a17yn,True,20.0,40.0,10.10
Symrise,006P700000WWNtY,True,15.0,12.0,10.10
ASSA ABLOY,006P700000aAKSD,True,28.0,46.0,10.10
ALEC Engineering and Contrac,006P700000Q5eyj,True,26.0,55.0,10.10
Civeo Corporation,006P700000YC92N,True,26.0,40.0,10.10
Seminole County Government,006P700000YnXX7,True,14.0,23.0,10.10
IPG,006P700000ZLKFk,True,23.0,38.0,10.10
Kromberg & Schubert,006P700000a0fGB,True,26.0,50.0,10.10
Saudia Airlines,006P700000aEeX8,True,16.0,40.0,10.10
Culture Fresh Foods,006P700000aJWM1,True,10.0,32.0,10.10
Hut 8,006P700000aIwvF,True,18.0,38.0,10.10
JCDecaux SE,006P700000XeYmP,True,18.0,27.0,10.10
Rocket Lab Ltd,006P700000XU3Gs,True,14.0,8.0,10.10
Piraeus Port Authority,006P700000Zc18e,True,30.0,50.0,10.10
oq.com,006P700000Zfkab,True,20.0,40.0,10.10
Skjodt-Barrett Foods Inc,006P700000Zskw9,True,18.0,37.0,10.10
RHB Banking Group,006P700000Zu2z6,True,24.0,45.0,10.10
Anglo American,006P700000RcEaJ,True,20.0,42.0,10.10
ST Engineering,006P700000WnN13,True,26.0,30.0,10.10
Stratasys Inc,006P700000XVrGL,True,14.0,10.0,10.10
Cascades inc,006P700000Xztas,True,18.0,40.0,10.10
NY Creates,006P700000Zb0eQ,True,10.0,32.0,10.10
Cox Automotives ,006P700000Zeh26,True,14.0,26.0,10.10
Discovery Ltd,006P700000YfKor,False,14.0,15.0,10.10
Trelleborg AB,006P700000aBFv4,True,18.0,44.0,10.10
VALLOUREC,006P700000aBTrg,True,12.0,22.0,10.10
Tufts University,006P700000Q9Z62,True,32.0,36.0,10.10
Quest Diagnostics Incorporat,006P700000Sy8SP,True,12.0,8.0,10.10
Asian Development Bank,006P700000U4hTK,True,10.0,15.0,10.10
PT SMART Tbk,006P700000VJCA5,True,14.0,18.0,10.10
CLARINS,006P700000W1Y21,True,26.0,52.0,10.10
Netwealth Investments,006P700000WWQGH,True,14.0,10.0,10.10
Wanzl Ges.m.b.H,006P700000YWhiz,True,15.0,18.0,10.10
KEPPEL INFRASTRUCTURE HOLDIN,006P700000ZFRa1,True,23.0,33.0,10.10
"AdaptHealth, LLC",006P700000X9bgU,True,16.0,12.0,10.10
Robinsons Land Corporation,006P700000XNoAq,True,20.0,27.0,10.10
QuantumScape,006P700000a2YYj,True,20.0,33.0,10.10
Sadara,006P700000akCUU,True,21.0,43.0,10.10
SWBC,006P700000afDRB,True,28.0,50.0,10.10
Easa Saleh Al Gurg Group,006P700000TfKyA,True,13.0,9.0,10.10
On Net Fibra,006P700000WjU9D,True,16.0,16.0,10.10
Barbizon Lighting Co,006P700000WnFxy,True,10.0,4.0,10.10
Sasol Limited,006P700000LR3st,True,12.0,14.0,10.10
Santam Limited,006P700000OIJw1,True,33.0,33.0,10.10
Bausch Health Companies Inc,006P700000OX2hz,True,12.0,5.0,10.10
Flydubai,006P700000PIlWk,True,16.0,46.0,10.10
Aspen Holdings,006P700000X6Vz0,True,14.0,16.0,10.10
Lakeside Book Company,006P700000XTgwv,True,12.0,16.0,10.10
TAQA (Abu Dhabi National Ene,006P700000Y2TfC,True,15.0,22.0,10.10
Swinkels Family Brewers,006P700000YpEBq,True,14.0,12.0,10.10
"Owens & Minor, Inc",006P700000ZLnJJ,True,10.0,30.0,10.10
Farplas AS,006P700000aAxBp,True,20.0,38.0,10.10
Procter & Gamble,006P700000X3d9t,True,13.0,8.0,10.10
