deal,model,input_tokens,output_tokens,logged_cost_usd,floor_usd,estimate_usd,ceiling_usd,created_at
SAMI,sonnet-5,217492,30391,,0.3474,0.6214,0.7389,2026-07-09T14:11:11.327501+00:00
Allstate,sonnet-5,227168,37251,,0.4179,0.7042,0.8268,2026-07-09T14:13:34.499903+00:00
DOMINO'S PIZZA ENTERPRISES LIMITED,sonnet-5,204094,30243,,0.3432,0.6004,0.7106,2026-07-09T14:37:59.130133+00:00
SOUTH AFRICAN REVENUE SERVICES ( SARS ),sonnet-5,2905918,36249,,0.9437,4.6049,6.1743,2026-07-09T14:45:20.225145+00:00
Greencore Group,sonnet-5,198458,39790,,0.4376,0.6876,0.7948,2026-07-09T14:58:25.95555+00:00
Greencore Group,sonnet-5,198458,40749,,0.4472,0.6972,0.8044,2026-07-09T15:03:53.699099+00:00
Robert Bosch GmbH,sonnet-5,438912,35926,,0.447,1.0,1.2371,2026-07-09T15:05:56.855821+00:00
Greencore Group,sonnet-5,389396,62491,,0.7028,1.1934,1.4037,2026-07-09T15:07:12.173505+00:00
NORTHPORT (MALAYSIA) BHD,sonnet-4-5,133681,36149,0.858131,0.5823,0.835,0.9433,2026-07-09T15:12:45.150273+00:00
Robert Bosch GmbH,sonnet-4-5,133993,48667,1.046954,0.7702,1.0234,1.132,2026-07-09T15:18:05.85606+00:00
Etex Group,sonnet-4-5,131847,35893,0.780463,0.5779,0.8271,0.9339,2026-07-09T15:23:55.710308+00:00
